EmployeeID,Name,Department,JobRole,Age,Gender,Education,EducationField,MaritalStatus,HireDate,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrentManager,MonthlyIncome,PerformanceRating,JobSatisfaction,Attrition,OverTime,TrainingTimesLastYear
1,Employee_1,Sales,Team Lead,49,Male,PhD,Human Resources,Divorced,2019-01-09,20,10,6,2,10871,5,3,Yes,No,1
2,Employee_2,Finance,Team Lead,39,Male,Masters,Marketing,Married,2001-06-21,5,0,5,11,13875,4,2,No,No,2
3,Employee_3,Operations,Analyst,44,Other,PhD,Medical,Married,2010-03-30,8,10,9,13,18230,5,3,Yes,No,5
4,Employee_4,Finance,Consultant,43,Other,Bachelors,Human Resources,Married,2000-09-07,10,8,9,9,17594,1,1,No,No,7
5,Employee_5,IT,Team Lead,48,Female,Masters,Technical Degree,Divorced,2018-10-20,7,1,6,11,14975,5,2,No,No,2
6,Employee_6,Sales,Executive,37,Female,Bachelors,Medical,Single,2021-01-24,14,5,6,12,6092,1,1,No,No,0
7,Employee_7,IT,Executive,29,Other,High School,Technical Degree,Single,2013-05-05,19,7,1,2,3695,5,2,Yes,No,9
8,Employee_8,Finance,Executive,37,Other,Bachelors,Other,Single,2021-07-13,21,6,3,7,16179,1,1,No,Yes,5
9,Employee_9,Operations,Analyst,21,Female,Bachelors,Medical,Divorced,2014-06-09,22,8,4,3,6178,3,1,Yes,Yes,8
10,Employee_10,Finance,Team Lead,29,Other,Masters,Medical,Divorced,2004-09-17,5,8,8,1,15733,5,2,No,Yes,2
11,Employee_11,IT,Team Lead,26,Female,Masters,Marketing,Divorced,2006-11-03,20,3,7,5,3584,1,4,No,No,8
12,Employee_12,Finance,Developer,35,Male,Bachelors,Life Sciences,Single,2020-09-22,16,13,7,4,6558,4,3,No,No,2
13,Employee_13,Sales,Manager,26,Other,Masters,Marketing,Single,2000-12-26,6,14,8,14,15218,4,2,No,Yes,1
14,Employee_14,Marketing,Manager,38,Female,PhD,Marketing,Divorced,2014-09-12,10,8,6,6,7814,3,4,No,No,2
15,Employee_15,Marketing,Team Lead,44,Male,PhD,Human Resources,Single,2005-11-01,6,12,5,12,13191,2,1,No,No,3
16,Employee_16,Finance,Consultant,58,Other,High School,Marketing,Divorced,2014-07-11,4,14,8,11,5187,4,2,Yes,No,5
17,Employee_17,Marketing,Team Lead,50,Female,Bachelors,Medical,Single,2020-10-10,15,12,4,1,17377,5,2,No,Yes,8
18,Employee_18,Marketing,Executive,39,Female,Masters,Technical Degree,Married,2016-05-26,11,11,4,4,16780,3,3,No,No,1
19,Employee_19,Marketing,Analyst,48,Female,PhD,Human Resources,Divorced,2010-06-18,24,9,2,4,7409,1,4,No,No,8
20,Employee_20,Operations,Team Lead,43,Female,PhD,Medical,Married,2016-10-08,11,1,8,11,18835,1,4,No,No,8
21,Employee_21,Operations,Developer,44,Other,Masters,Other,Divorced,2003-03-09,2,14,1,2,3823,1,1,No,Yes,9
22,Employee_22,Finance,Developer,47,Male,Bachelors,Technical Degree,Single,2002-06-13,16,0,9,7,18642,1,4,No,No,7
23,Employee_23,Marketing,Consultant,33,Female,Masters,Technical Degree,Married,2013-12-26,20,11,2,6,14511,5,4,No,No,5
24,Employee_24,IT,Team Lead,31,Female,High School,Human Resources,Single,2018-02-17,3,5,3,8,12201,4,2,No,No,4
25,Employee_25,Operations,Manager,35,Other,High School,Marketing,Divorced,2002-04-07,5,3,0,9,7492,1,3,Yes,No,1
26,Employee_26,IT,Analyst,50,Male,PhD,Human Resources,Single,2016-09-24,17,3,1,13,14432,5,3,No,No,4
27,Employee_27,Marketing,Developer,26,Other,High School,Human Resources,Single,2011-10-25,15,12,4,5,13846,3,1,No,No,6
28,Employee_28,HR,Team Lead,45,Other,Bachelors,Other,Married,2014-05-24,14,13,5,4,4424,5,4,No,No,1
29,Employee_29,HR,Team Lead,51,Other,PhD,Human Resources,Single,2018-05-14,20,9,5,4,14757,3,1,No,No,1
30,Employee_30,IT,Executive,31,Other,Masters,Other,Single,2012-12-26,23,13,2,14,8437,4,3,No,No,5
31,Employee_31,IT,Developer,24,Female,High School,Technical Degree,Divorced,2003-11-28,23,12,3,12,14526,1,4,No,No,5
32,Employee_32,Marketing,Executive,35,Female,Bachelors,Marketing,Single,2014-02-04,1,9,8,10,18664,2,1,No,No,0
33,Employee_33,Finance,Analyst,44,Other,Bachelors,Other,Married,2008-07-08,13,10,0,5,8820,3,4,No,Yes,2
34,Employee_34,IT,Analyst,34,Male,PhD,Other,Divorced,2008-03-03,15,14,8,0,4229,2,1,No,Yes,1
35,Employee_35,Marketing,Consultant,44,Male,Masters,Life Sciences,Divorced,2011-01-29,2,0,7,11,4878,5,1,Yes,No,5
36,Employee_36,IT,Developer,43,Other,Masters,Technical Degree,Single,2021-03-03,24,5,3,6,6520,5,3,No,Yes,0
37,Employee_37,Operations,Executive,25,Female,PhD,Human Resources,Married,2020-07-05,22,2,3,1,7298,2,2,No,No,3
38,Employee_38,IT,Consultant,46,Female,PhD,Other,Married,2021-10-05,8,6,4,2,13280,4,2,No,No,3
39,Employee_39,Marketing,Consultant,50,Male,PhD,Technical Degree,Single,2011-03-11,3,13,9,4,19274,1,1,No,Yes,0
40,Employee_40,Marketing,Manager,58,Male,Masters,Medical,Married,2000-10-22,10,0,1,13,3888,5,3,No,No,7
41,Employee_41,Sales,Executive,23,Other,Bachelors,Marketing,Single,2006-11-15,6,7,6,7,8418,2,1,No,Yes,6
42,Employee_42,Finance,Developer,38,Male,Masters,Life Sciences,Single,2000-10-15,6,8,1,13,11741,2,2,No,No,8
43,Employee_43,Operations,Developer,42,Female,High School,Marketing,Divorced,2000-07-14,12,3,6,13,4003,3,4,Yes,Yes,9
44,Employee_44,Sales,Executive,48,Male,Masters,Medical,Single,2004-04-23,6,4,4,8,4484,2,3,No,No,2
45,Employee_45,Sales,Team Lead,50,Male,Masters,Life Sciences,Married,2008-01-06,9,7,6,8,12712,2,2,No,Yes,6
46,Employee_46,Sales,Team Lead,22,Female,High School,Technical Degree,Divorced,2012-05-10,14,4,0,0,15255,3,2,No,Yes,3
47,Employee_47,Sales,Manager,29,Other,PhD,Life Sciences,Single,2000-08-02,10,9,8,11,14200,3,2,No,No,2
48,Employee_48,Operations,Consultant,21,Male,High School,Human Resources,Married,2015-05-04,12,3,3,1,4365,5,3,No,No,2
49,Employee_49,Sales,Consultant,56,Female,PhD,Medical,Divorced,2022-12-19,20,4,9,4,19432,4,3,Yes,Yes,3
50,Employee_50,Operations,Manager,41,Other,High School,Other,Divorced,2005-12-25,5,1,7,10,16175,5,2,No,No,1
51,Employee_51,IT,Manager,48,Male,High School,Human Resources,Divorced,2018-06-09,3,9,5,2,7457,4,3,No,No,6
52,Employee_52,Sales,Developer,56,Male,PhD,Medical,Divorced,2009-09-21,10,1,3,5,4382,1,1,No,No,0
53,Employee_53,Marketing,Developer,52,Other,High School,Technical Degree,Single,2016-03-26,24,12,9,2,13927,3,3,No,No,5
54,Employee_54,Operations,Team Lead,26,Male,Bachelors,Technical Degree,Single,2000-12-09,19,0,7,2,18459,5,3,No,Yes,5
55,Employee_55,Finance,Executive,43,Other,High School,Human Resources,Married,2020-06-03,8,3,8,12,5580,3,2,Yes,No,2
56,Employee_56,HR,Analyst,26,Female,Masters,Medical,Married,2015-07-17,24,11,4,9,10031,3,4,No,Yes,1
57,Employee_57,HR,Executive,42,Other,PhD,Medical,Single,2007-01-13,4,9,9,4,9863,4,4,No,No,8
58,Employee_58,IT,Consultant,51,Other,PhD,Technical Degree,Single,2009-05-18,8,7,7,14,15936,2,4,Yes,No,1
59,Employee_59,Operations,Team Lead,39,Male,PhD,Marketing,Divorced,2010-10-18,8,9,3,14,7440,2,4,No,No,0
60,Employee_60,Sales,Team Lead,28,Other,Bachelors,Human Resources,Divorced,2017-11-08,11,9,9,10,9479,3,4,No,No,2
61,Employee_61,Marketing,Team Lead,28,Male,Masters,Human Resources,Divorced,2020-02-29,18,9,3,9,7041,5,1,No,No,3
62,Employee_62,HR,Team Lead,40,Other,High School,Medical,Divorced,2006-10-21,11,9,8,11,14592,5,1,No,No,6
63,Employee_63,Sales,Developer,44,Female,Masters,Other,Married,2011-08-07,2,14,6,6,13523,4,3,No,Yes,9
64,Employee_64,HR,Manager,33,Female,PhD,Life Sciences,Married,2003-03-08,3,1,4,6,6948,1,4,No,Yes,3
65,Employee_65,HR,Manager,27,Other,Masters,Other,Married,2011-12-03,23,13,6,7,14493,5,4,No,No,6
66,Employee_66,Sales,Executive,28,Other,PhD,Technical Degree,Single,2002-06-30,18,6,0,1,8065,1,1,Yes,No,8
67,Employee_67,Finance,Executive,47,Male,PhD,Other,Divorced,2021-03-22,17,14,1,11,10451,3,3,No,No,8
68,Employee_68,Finance,Consultant,23,Female,Bachelors,Technical Degree,Single,2005-01-22,11,11,3,4,19841,4,2,No,No,8
69,Employee_69,IT,Team Lead,37,Male,PhD,Other,Divorced,2004-03-28,13,7,9,11,18008,4,1,Yes,No,3
70,Employee_70,Marketing,Team Lead,25,Male,Masters,Marketing,Single,2004-05-03,5,13,1,11,12683,3,1,No,Yes,5
71,Employee_71,Sales,Analyst,58,Male,Bachelors,Life Sciences,Divorced,2000-12-25,14,9,5,1,5239,3,4,No,No,0
72,Employee_72,HR,Manager,29,Female,Masters,Life Sciences,Single,2007-05-19,18,0,1,5,12054,1,4,Yes,No,4
73,Employee_73,Finance,Team Lead,26,Other,Masters,Life Sciences,Married,2019-02-24,8,2,7,4,8894,5,1,Yes,No,2
74,Employee_74,Marketing,Consultant,28,Female,High School,Marketing,Single,2001-09-23,24,5,6,9,12613,5,1,No,No,5
75,Employee_75,Operations,Executive,46,Male,Masters,Technical Degree,Single,2020-12-26,15,6,4,0,19647,2,1,No,No,5
76,Employee_76,Marketing,Executive,40,Male,Bachelors,Life Sciences,Single,2002-08-02,5,13,9,11,19642,1,4,No,No,5
77,Employee_77,Sales,Executive,46,Male,High School,Technical Degree,Single,2009-02-07,4,4,0,7,7755,4,2,No,No,8
78,Employee_78,Sales,Analyst,23,Male,PhD,Technical Degree,Single,2002-02-25,10,6,7,6,13700,1,3,No,No,5
79,Employee_79,Sales,Team Lead,45,Other,High School,Marketing,Married,2022-03-24,1,12,3,9,9275,1,3,Yes,No,0
80,Employee_80,Finance,Team Lead,35,Male,High School,Technical Degree,Married,2008-07-31,7,5,3,12,7949,3,4,No,Yes,5
81,Employee_81,IT,Consultant,31,Other,High School,Medical,Married,2004-01-13,18,6,3,9,11242,3,2,No,Yes,1
82,Employee_82,IT,Team Lead,52,Other,High School,Technical Degree,Divorced,2012-09-24,20,3,0,0,5642,3,2,No,No,4
83,Employee_83,IT,Consultant,52,Male,Masters,Medical,Single,2014-06-08,9,12,9,11,12215,3,2,No,No,2
84,Employee_84,Marketing,Analyst,26,Male,High School,Life Sciences,Divorced,2018-12-29,19,1,9,0,12686,3,3,No,No,9
85,Employee_85,Marketing,Team Lead,22,Other,Masters,Other,Divorced,2005-09-05,18,7,1,0,18391,1,2,Yes,Yes,1
86,Employee_86,Finance,Consultant,43,Other,Masters,Medical,Divorced,2003-06-25,2,0,6,3,12244,3,1,No,No,1
87,Employee_87,Sales,Manager,49,Male,PhD,Life Sciences,Married,2008-03-29,24,3,0,6,9494,5,3,No,No,5
88,Employee_88,Sales,Team Lead,27,Female,Masters,Other,Single,2016-08-22,1,3,4,7,17164,5,2,No,No,0
89,Employee_89,HR,Team Lead,50,Male,Bachelors,Medical,Married,2004-12-09,18,0,8,13,10345,2,1,No,No,4
90,Employee_90,HR,Executive,36,Female,PhD,Medical,Divorced,2012-12-06,20,7,7,8,17637,5,3,No,No,3
91,Employee_91,HR,Team Lead,21,Other,PhD,Life Sciences,Single,2003-01-22,10,5,7,7,5569,2,1,No,No,9
92,Employee_92,Marketing,Developer,33,Female,Masters,Marketing,Divorced,2006-03-03,3,1,4,3,5787,5,2,No,Yes,0
93,Employee_93,IT,Analyst,56,Male,Masters,Technical Degree,Divorced,2007-04-15,11,3,3,11,9107,4,4,No,Yes,9
94,Employee_94,Finance,Executive,21,Other,High School,Medical,Married,2002-12-05,8,6,9,14,19851,2,2,No,Yes,8
95,Employee_95,IT,Analyst,42,Other,Masters,Human Resources,Married,2015-11-02,20,8,1,2,18543,1,1,No,No,9
96,Employee_96,Sales,Developer,57,Other,High School,Marketing,Married,2004-09-20,15,6,0,12,12002,3,4,No,No,3
97,Employee_97,HR,Executive,49,Female,Bachelors,Other,Married,2000-01-27,20,1,1,6,15420,2,2,No,Yes,1
98,Employee_98,IT,Consultant,36,Female,PhD,Technical Degree,Single,2006-04-15,6,13,6,5,4489,5,1,No,No,6
99,Employee_99,Sales,Consultant,29,Other,PhD,Marketing,Divorced,2013-07-03,3,0,5,9,15255,1,2,Yes,No,0
100,Employee_100,HR,Consultant,45,Female,Masters,Marketing,Single,2022-04-25,4,9,6,9,13046,5,3,No,No,1
101,Employee_101,IT,Executive,58,Male,PhD,Life Sciences,Single,2021-01-26,16,12,9,12,4752,1,2,No,No,2
102,Employee_102,IT,Developer,42,Female,PhD,Human Resources,Divorced,2022-10-14,22,6,2,0,5603,5,3,No,No,3
103,Employee_103,IT,Developer,22,Other,Bachelors,Technical Degree,Divorced,2016-10-13,10,8,4,4,15199,3,4,No,No,1
104,Employee_104,Operations,Manager,21,Male,PhD,Marketing,Single,2003-04-20,3,1,2,5,16699,4,4,No,Yes,6
105,Employee_105,Operations,Executive,30,Other,High School,Life Sciences,Divorced,2015-07-27,17,2,8,11,6968,5,4,No,No,7
106,Employee_106,HR,Analyst,55,Other,PhD,Technical Degree,Single,2013-03-25,22,14,7,3,14644,5,3,No,Yes,5
107,Employee_107,Marketing,Team Lead,44,Male,High School,Life Sciences,Divorced,2006-10-09,23,12,6,9,19369,2,1,No,No,0
108,Employee_108,HR,Developer,44,Other,High School,Technical Degree,Divorced,2006-06-26,8,14,5,10,12552,3,2,No,Yes,4
109,Employee_109,Finance,Manager,30,Male,High School,Marketing,Married,2014-05-19,7,3,3,0,9360,1,1,No,No,4
110,Employee_110,Operations,Developer,58,Female,High School,Medical,Divorced,2013-04-08,23,8,3,12,18387,2,4,No,Yes,4
111,Employee_111,HR,Consultant,40,Male,Bachelors,Other,Single,2016-10-27,23,6,1,3,6559,3,4,Yes,No,7
112,Employee_112,IT,Analyst,32,Female,Bachelors,Other,Divorced,2005-07-14,6,1,5,11,7373,3,4,No,Yes,4
113,Employee_113,Sales,Team Lead,43,Male,PhD,Human Resources,Divorced,2013-07-12,17,3,5,10,15627,2,2,No,Yes,3
114,Employee_114,Sales,Team Lead,43,Male,Bachelors,Other,Married,2015-06-10,1,3,9,3,6629,1,3,No,No,7
115,Employee_115,IT,Developer,29,Other,High School,Medical,Divorced,2010-03-25,10,13,1,14,18272,4,4,Yes,No,3
116,Employee_116,Marketing,Team Lead,24,Female,Bachelors,Medical,Divorced,2006-06-22,8,3,6,12,8584,2,2,No,No,5
117,Employee_117,Marketing,Consultant,49,Male,Masters,Marketing,Married,2007-02-09,12,11,9,1,13627,5,1,No,No,3
118,Employee_118,HR,Consultant,47,Male,Masters,Life Sciences,Married,2014-08-07,16,9,3,9,9285,4,1,Yes,Yes,0
119,Employee_119,HR,Team Lead,49,Other,Bachelors,Human Resources,Married,2019-09-16,16,6,5,7,7339,1,3,No,Yes,3
120,Employee_120,Sales,Analyst,24,Other,Masters,Medical,Married,2000-12-06,22,5,5,8,8242,1,4,No,No,6
121,Employee_121,IT,Consultant,22,Female,PhD,Life Sciences,Divorced,2018-01-20,9,1,6,13,10021,2,4,Yes,No,0
122,Employee_122,IT,Developer,27,Other,Masters,Human Resources,Married,2001-10-07,5,13,2,4,12424,2,4,No,No,9
123,Employee_123,HR,Manager,54,Male,PhD,Marketing,Single,2011-01-21,5,10,4,3,16166,4,3,No,No,9
124,Employee_124,Finance,Consultant,32,Male,Bachelors,Other,Married,2002-12-10,23,10,4,3,3762,4,4,No,No,7
125,Employee_125,Operations,Manager,47,Male,High School,Human Resources,Single,2006-09-12,14,9,3,4,13029,5,1,No,No,0
126,Employee_126,HR,Executive,42,Other,Bachelors,Other,Divorced,2020-11-06,10,13,9,13,5517,5,3,Yes,No,1
127,Employee_127,Operations,Analyst,35,Female,PhD,Technical Degree,Divorced,2013-10-16,19,1,9,7,6646,5,3,No,No,6
128,Employee_128,HR,Developer,30,Male,Masters,Other,Married,2007-08-29,13,2,9,1,4640,4,4,No,No,3
129,Employee_129,Marketing,Team Lead,55,Other,Bachelors,Marketing,Divorced,2013-01-12,4,9,6,3,14254,3,1,No,Yes,2
130,Employee_130,Operations,Analyst,40,Male,Bachelors,Medical,Single,2015-08-07,4,0,4,3,12125,4,1,No,Yes,4
131,Employee_131,HR,Developer,52,Other,Bachelors,Technical Degree,Married,2000-12-06,21,13,2,12,10810,5,1,No,No,4
132,Employee_132,HR,Developer,40,Female,PhD,Life Sciences,Single,2005-06-04,0,8,3,0,19934,3,4,Yes,No,2
133,Employee_133,Finance,Analyst,25,Other,Masters,Medical,Single,2014-02-02,19,6,1,4,3276,5,1,No,No,0
134,Employee_134,Sales,Consultant,49,Female,Bachelors,Technical Degree,Married,2006-06-22,18,6,2,11,16181,3,1,No,No,3
135,Employee_135,Sales,Analyst,47,Female,High School,Other,Married,2003-02-17,14,8,4,4,7377,1,4,No,No,5
136,Employee_136,HR,Analyst,46,Other,PhD,Other,Single,2011-08-23,10,6,0,7,7070,4,3,Yes,No,3
137,Employee_137,IT,Executive,31,Female,PhD,Marketing,Married,2018-05-08,22,0,3,14,7470,1,4,Yes,Yes,0
138,Employee_138,HR,Team Lead,49,Other,Masters,Technical Degree,Married,2016-03-07,16,3,4,14,12455,2,4,No,No,1
139,Employee_139,Marketing,Analyst,40,Male,High School,Technical Degree,Divorced,2014-11-16,1,8,4,4,19398,1,2,No,No,7
140,Employee_140,Finance,Executive,26,Female,Bachelors,Other,Divorced,2007-07-02,23,5,7,8,12831,1,2,Yes,Yes,4
141,Employee_141,HR,Manager,28,Male,Masters,Other,Married,2008-10-22,1,13,2,1,18189,2,2,No,No,2
142,Employee_142,Sales,Consultant,22,Male,PhD,Medical,Single,2019-10-27,8,7,8,12,6480,4,3,Yes,No,1
143,Employee_143,HR,Executive,47,Female,High School,Other,Married,2006-02-05,19,2,3,12,8745,5,1,No,No,5
144,Employee_144,Operations,Consultant,58,Other,Bachelors,Technical Degree,Divorced,2017-10-05,18,5,9,13,11910,4,4,Yes,No,5
145,Employee_145,Finance,Team Lead,40,Other,PhD,Human Resources,Married,2021-01-18,3,14,4,13,17978,5,4,No,Yes,3
146,Employee_146,Finance,Manager,50,Other,Bachelors,Other,Divorced,2000-02-14,24,3,1,8,4334,2,3,No,Yes,3
147,Employee_147,IT,Analyst,49,Other,Masters,Medical,Divorced,2019-01-18,22,14,1,5,14474,3,4,Yes,No,9
148,Employee_148,IT,Analyst,22,Male,High School,Human Resources,Single,2017-08-27,10,7,8,14,11775,2,1,Yes,No,3
149,Employee_149,IT,Analyst,35,Other,Masters,Technical Degree,Married,2020-03-07,19,14,8,6,17676,4,3,Yes,No,2
150,Employee_150,HR,Analyst,53,Female,Bachelors,Other,Divorced,2010-12-07,6,2,1,3,14075,3,3,No,No,0
151,Employee_151,Sales,Manager,31,Male,Bachelors,Human Resources,Married,2008-04-21,23,4,0,10,11692,2,3,Yes,Yes,8
152,Employee_152,Marketing,Executive,44,Other,PhD,Marketing,Single,2014-12-16,7,12,0,14,10930,4,2,No,Yes,8
153,Employee_153,Sales,Consultant,35,Male,High School,Other,Single,2002-08-16,12,1,8,10,16687,3,3,No,Yes,6
154,Employee_154,Finance,Consultant,25,Female,High School,Marketing,Single,2013-10-12,11,11,4,6,18523,4,3,No,Yes,2
155,Employee_155,Sales,Consultant,29,Female,Bachelors,Technical Degree,Single,2019-09-10,21,6,2,14,17341,2,3,No,Yes,1
156,Employee_156,HR,Executive,24,Other,Bachelors,Human Resources,Married,2005-07-17,16,8,0,13,5870,1,3,No,No,3
157,Employee_157,IT,Developer,47,Female,Bachelors,Technical Degree,Divorced,2006-04-20,9,4,3,11,7668,1,3,No,No,8
158,Employee_158,Sales,Executive,24,Male,PhD,Marketing,Married,2016-06-17,15,11,2,5,10533,2,3,Yes,Yes,8
159,Employee_159,Finance,Executive,57,Female,Bachelors,Human Resources,Married,2009-07-19,13,8,4,3,4041,5,1,No,No,6
160,Employee_160,Finance,Consultant,33,Other,High School,Marketing,Divorced,2006-10-15,2,14,9,3,9085,4,3,Yes,No,3
161,Employee_161,Marketing,Executive,41,Male,High School,Human Resources,Single,2009-01-16,21,12,7,9,15269,2,1,No,No,8
162,Employee_162,Sales,Executive,31,Other,PhD,Other,Married,2011-07-17,0,1,6,13,8406,1,1,No,No,5
163,Employee_163,HR,Consultant,32,Male,High School,Medical,Single,2013-01-21,20,7,4,9,3005,4,3,No,No,1
164,Employee_164,Finance,Consultant,34,Other,PhD,Technical Degree,Divorced,2015-11-27,1,2,9,14,10599,5,4,Yes,No,4
165,Employee_165,Marketing,Executive,56,Female,Masters,Other,Divorced,2008-04-15,0,9,2,0,9443,1,4,No,Yes,3
166,Employee_166,Operations,Manager,33,Female,Bachelors,Other,Divorced,2008-07-20,9,4,4,11,16296,3,4,No,No,1
167,Employee_167,Finance,Team Lead,25,Other,Bachelors,Human Resources,Single,2010-01-13,2,2,0,4,6703,5,4,No,No,1
168,Employee_168,Marketing,Team Lead,41,Other,High School,Other,Single,2015-08-03,17,4,2,3,18471,4,3,No,Yes,5
